Slug,Contract,Chain,Name,Market
legend-maps,0xbff184118bf575859dc6a236e8c7c4f80dc7c25c,ethereum,Legend Maps: Founder Maps,https://opensea.io/collection/legend-maps-founder
forgotten-runes-wizards-cult,0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42,ethereum,Forgotten Runes Wizard's Cult,https://opensea.io/collection/forgottenruneswizardscult
the-red-village,0x46a0a4840b496c8e8fd034c99840f578fd842341,ethereum,The Red Village Blood Portal,https://opensea.io/collection/theredvillagebloodportal
the-red-village,0x4055e3503d1221af4b187cf3b4aa8744332a4d0b,polygon,The Red Village Champions,https://opensea.io/collection/theredvillagechampions
gawds,0x3769c5700da07fe5b8eee86be97e061f961ae340,ethereum,GAWDS,https://opensea.io/collection/gawds
damned-pirates-society,0xB6E9e605AA159017173CAa6181C522Db455F6661,moonriver,Damned Pirates Society,https://moonbeanstoken.com/#/collections/damnedpirates
damned-pirates-society,0x91d00b76fb2633B811C69A56c062268e58bab1E1,moonriver,Treasure Maps,https://app.solarbeam.io/exchange/swap
etholvants,0x1fff1e9e963f07ac4486503e5a35e71f4e9fb9fd,ethereum,Etholvants,https://opensea.io/collection/etholvants
battle-for-evermore,0xf1ef40f5aea5d1501c1b8bcd216cf305764fca40,ethereum,Heroes of Evermore,https://opensea.io/collection/heroes-of-evermore
influence,0x746db7b1728af413c4e2b98216c6171b2fc9d00e,ethereum,Influence Crew,https://opensea.io/collection/influence-crew
influence,0x6e4c6d9b0930073e958abd2aba516b885260b8ff,ethereum,Influence Asteroids,https://opensea.io/collection/influenceth-asteroids
illuvium,0x4222b2a98daa443c6a0a761300d7d6bfd9161e52,ethereum,Illuvium,https://opensea.io/collection/illuvium
illuvium,0x767FE9EDC9E0dF98E07454847909b5E959D7ca0E,ethereum,ILV,https://www.illuvium.io/
wanderers,0x8184a482a5038b124d933b779e0ea6e0fb72f54e,ethereum,The Wanderers,https://opensea.io/collection/the-wanderers
dope-wars,0x8707276df042e89669d69a177d3da7dc78bd8723,ethereum,Dope Wars,https://opensea.io/collection/dope-v4
legends-of-venari,0x4e34ec528a663194f4dfe40641e8a3a98abb6e84,ethereum,Legends of Venari Alpha Pass,https://opensea.io/collection/legends-of-venari-alpha-pass
legends-of-venari,0x4e34ec528a663194f4dfe40641e8a3a98abb6e84,ethereum,Legends of Venari Gilded Pass,https://opensea.io/collection/legends-of-venari-pass
parallel,0x76be3b62873462d2142405439777e971754e8e77,ethereum,Parallel Alpha,https://opensea.io/collection/parallelalpha
nifty-league,0x986aea67C7d6A15036e18678065eb663Fc5BE883,ethereum,Nifty League DEGENs,https://opensea.io/collection/niftydegen
