Name,Slug,URL,Status
Legend Maps,legend-maps,https://legendmaps.io/,development
Forgotten Runes Wizard's Cult,forgotten-runes-wizards-cult,https://www.forgottenrunes.com/,development
The Red Village,the-red-village,https://theredvillage.com/,development
GAWDS,gawds,https://gawds.xyz/,development
Damned Pirates Society,damned-pirates-society,https://www.damnedpiratessociety.io/,development
Etholvants,etholvants,https://etholvants.com,live
Battle For Evermore,battle-for-evermore,https://mud.xyz/,alpha
Influence,influence,https://www.influenceth.io/,development
Illuvium,illuvium,https://www.illuvium.io/,development
Dark Forest,dark-forest,https://zkga.me/,live
Wanderers,wanderers,https://linktr.ee/wanderverse,development
Dope Wars,dope-wars,https://dopewars.gg/,development
Legends of Venari,legends-of-venari,https://legendsofvenari.com/,alpha
Parallel,parallel,https://parallel.life/,development
Nifty League,nifty-league,https://nifty-league.com/,alpha
